关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
603777,七家零食品牌上半年总净利14亿元 良品铺子、来伊份盈转亏,品铺子（603719.SH）、洽洽食品（002557.SZ）、来伊份（603777.SH）、,2025-09-04 15:06:00,澎湃新闻,http://finance.eastmoney.com/a/202509043504772081.html
603777,来伊份：上半年亏损5068.39万元，同比由盈转亏,人民财讯8月26日电，来伊份6037778月26日晚间披露2025年半年报，上半年实现营业收入19.4亿元，同比增长,2025-08-26 21:20:12,人民财讯,http://finance.eastmoney.com/a/202508263495254816.html
603777,来伊份：上半年亏损5068.39万元，同比由盈转亏,每经AI快讯，来伊份6037778月26日晚间披露2025年半年报，上半年实现营业收入19.4亿元，同比增长8.21%,2025-08-26 21:17:45,每日经济新闻,http://finance.eastmoney.com/a/202508263495252169.html
603777,万辰们崛起，“零食第一股”来伊份仍在自救，半年关店百家还亏掉4151万,8月26日晚间，来伊份（603777.SH）发布2025年半年度报告。,2025-08-28 14:42:51,时代财经,http://finance.eastmoney.com/a/202508283497895814.html
603777,来伊份：累计回购215.54万股,来伊份（SH 603777，收盘价：13.39元）5月6日晚间发布公告称，截至2025年04月30日，公司通过集中竞价交易方式已累计回购股份,2025-05-06 18:52:30,每日经济新闻,http://finance.eastmoney.com/a/202505063396941759.html
603777,来伊份已回购271万股 资金2726万元,6月3日，来伊份（603777）发布公告，截至2025年5月31日，公司已回购271万股，占总股本的0.81%，回购金额为,2025-06-03 15:45:39,财中社,http://finance.eastmoney.com/a/202506033420614313.html
603777,来伊份603777.SH)2024年净利润为-7526.76万元，同比由盈转亏,2025年4月29日，来伊份603777.SH)发布2024年年报。,2025-04-29 17:30:16,界面新闻,http://finance.eastmoney.com/a/202504293392951882.html
603777,来伊份已回购291万股 资金总额3022万元,来伊份（603777）发布公告，截至2025年6月23日，公司已回购291万股，占总股本的0.87%，回购资金总额为3022,2025-06-23 16:28:07,财中社,http://finance.eastmoney.com/a/202506233437702498.html
603777,来伊份：控股股东拟减持公司不超3%股份,人民财讯6月9日电，来伊份6037776月9日晚间公告，公司控股股东爱屋企管拟通过包括但不限于集中竞价交易、大宗交易等方式,2025-06-09 18:36:29,人民财讯,http://finance.eastmoney.com/a/202506093425572742.html
603777,来伊份：2025年上半年实现营业总收入19.4亿元 同比增长8.21%,中证智能财讯来伊份（603777）8月27日披露2025年半年度报告。,2025-08-27 13:12:41,中国证券报·中证网,http://finance.eastmoney.com/a/202508273496183866.html
603777,来伊份累计回购291万股 金额3022万元,6月5日，来伊份（603777）发布公告，截至2025年6月4日，累计回购291万股，占总股本的0.87%，实际回购金额为,2025-06-05 16:01:48,财中社,http://finance.eastmoney.com/a/202506053422898323.html
603777,来伊份控股股东爱屋企管拟减持不超过1003万股,6月9日，来伊份（603777）发布公告，控股股东上海爱屋企业管理有限公司拟通过集中竞价和大宗交易方式减持不超过1003,2025-06-09 18:51:16,财中社,http://finance.eastmoney.com/a/202506093425584372.html
603777,来伊份控股股东爱屋企管解除质押1100万股,6月11日，来伊份（603777）发布公告，控股股东上海爱屋企业管理有限公司解除质押1100万股，占其所持的6.21%,2025-06-11 15:50:26,财中社,http://finance.eastmoney.com/a/202506113427724581.html
603777,来伊份业绩继续承压：上半年盈转亏，毛利率下降8.67%,国内“休闲零食第一股”来伊份6037778月26日晚间披露2025年半年报，上半年实现营业收入19.4亿元，同比增长,2025-08-27 00:13:19,深圳商报·读创,http://finance.eastmoney.com/a/202508273495375222.html
